DATE;TIME;OPEN;HIGH;LOW;CLOSE;TICKVOL;VOL;SPREAD
2019.01.02;09:00:00;89385;89623;89168;89498;89716;317108;0
2019.01.02;10:00:00;89493;89998;89493;89948;134934;467049;5
2019.01.02;11:00:00;89948;90448;89923;90313;140081;552789;5
2019.01.02;12:00:00;90313;92038;90298;91893;206536;846034;5
2019.01.02;13:00:00;91898;93008;91818;92798;203504;847212;5
2019.01.02;14:00:00;92798;93733;92793;93573;163809;704314;5
2019.01.02;15:00:00;93573;93698;92998;93163;163023;627059;5
2019.01.02;16:00:00;93168;93448;93063;93173;115562;469347;5
2019.01.02;17:00:00;93173;93508;93043;93328;74929;340585;5
2019.01.02;18:00:00;93333;93388;93178;93178;10477;39449;5
2019.01.03;09:00:00;92760;92889;92304;92734;139865;449237;0
2019.01.03;10:00:00;92739;93254;92574;93254;187966;633237;5
2019.01.03;11:00:00;93254;93799;93234;93664;178858;643957;5
2019.01.03;12:00:00;93669;93759;92794;92814;205532;752443;5
2019.01.03;13:00:00;92814;92889;92199;92429;212045;793483;5
2019.01.03;14:00:00;92429;92874;92354;92504;166957;627900;5
2019.01.03;15:00:00;92499;92654;92149;92484;132820;498449;5
2019.01.03;16:00:00;92484;92514;92039;92199;117047;458371;5
2019.01.03;17:00:00;92199;93434;92169;93334;127504;533249;5
2019.01.03;18:00:00;93334;93464;93269;93354;8725;38315;5
2019.01.04;09:00:00;93880;94106;93576;93771;131696;422701;0
2019.01.04;10:00:00;93776;93801;93021;93431;203906;633677;5
2019.01.04;11:00:00;93436;93986;93111;93831;214325;649294;5
2019.01.04;12:00:00;93831;94066;93391;93886;166075;561872;5
2019.01.04;13:00:00;93886;95021;93591;95011;227796;809547;5
2019.01.04;14:00:00;95011;95041;94186;94376;192307;705864;5
2019.01.04;15:00:00;94371;94676;94106;94241;153051;546708;5
2019.01.04;16:00:00;94246;94426;93886;94171;144915;535942;5
2019.01.04;17:00:00;94166;94546;93821;94006;135991;513722;5
2019.01.04;18:00:00;94006;94151;93941;94151;8779;37724;5
2019.01.07;09:00:00;94068;94267;93772;94067;129736;420463;0
2019.01.07;10:00:00;94062;94547;93972;94507;193741;628744;5
2019.01.07;11:00:00;94512;94762;94417;94517;166120;570750;5
2019.01.07;12:00:00;94517;94547;93792;94172;191420;664340;5
2019.01.07;13:00:00;94172;94317;93602;93817;216919;772248;5
2019.01.07;14:00:00;93812;94077;93452;94067;168074;632012;5
2019.01.07;15:00:00;94067;94237;93577;94167;186786;683705;5
2019.01.07;16:00:00;94172;94372;93982;93987;142299;532679;5
2019.01.07;17:00:00;93992;94162;93462;93777;124645;511818;5
2019.01.07;18:00:00;93787;94032;93742;93912;11520;38666;5
2019.01.08;09:00:00;94374;94427;94092;94357;120647;392581;0
2019.01.08;10:00:00;94357;94412;93642;93817;218616;723416;5
2019.01.08;11:00:00;93817;93947;93412;93602;204428;695415;5
2019.01.08;12:00:00;93602;93972;93507;93952;175277;630607;5
2019.01.08;13:00:00;93957;94132;93247;93402;210859;824814;5
2019.01.08;14:00:00;93397;93767;93292;93727;158135;603518;5
2019.01.08;15:00:00;93727;94162;93712;93912;161034;611582;5
2019.01.08;16:00:00;93912;94152;93772;93992;124511;473828;5
2019.01.08;17:00:00;93997;94362;93887;94327;80228;336887;5
2019.01.08;18:00:00;94322;94392;94242;94337;7745;34421;5
2019.01.09;09:00:00;94771;94970;94615;94885;95808;305346;0
2019.01.09;10:00:00;94880;95020;94515;94960;223304;723166;5
2019.01.09;11:00:00;94960;95480;94910;95345;180776;616012;5
2019.01.09;12:00:00;95350;95690;95240;95610;192456;660439;5
2019.01.09;13:00:00;95605;95835;95335;95455;210575;726533;5
2019.01.09;14:00:00;95455;95790;95420;95595;152568;555638;5
2019.01.09;15:00:00;95595;95705;95375;95600;117203;428521;5
2019.01.09;16:00:00;95600;95690;95475;95540;100662;375551;5
2019.01.09;17:00:00;95540;95900;95470;95840;117076;472262;5
2019.01.09;18:00:00;95840;95870;95780;95865;7922;34946;5
2019.01.10;09:00:00;95376;95531;95256;95381;102384;316982;0
2019.01.10;10:00:00;95386;95571;95296;95426;155614;504628;5
2019.01.10;11:00:00;95426;95616;95316;95366;132079;462832;5
2019.01.10;12:00:00;95371;95681;95246;95676;173901;596545;5
2019.01.10;13:00:00;95671;96156;95671;96016;195571;715313;5
2019.01.10;14:00:00;96016;96206;95891;96161;132722;441827;5
2019.01.10;15:00:00;96166;96221;95721;95911;200826;766239;5
2019.01.10;16:00:00;95921;95996;95356;95706;169042;679353;5
2019.01.10;17:00:00;95701;96041;95591;96021;90241;396830;5
2019.01.10;18:00:00;96026;96096;95986;96066;6428;33044;5
2019.01.11;09:00:00;96308;96328;95861;95966;83934;265269;0
2019.01.11;10:00:00;95966;96021;95611;95701;192868;615666;5
2019.01.11;11:00:00;95701;95996;95586;95906;160846;525426;5
2019.01.11;12:00:00;95911;96031;95466;95581;171127;604745;5
2019.01.11;13:00:00;95581;95791;95491;95736;132836;462691;5
2019.01.11;14:00:00;95736;95991;95626;95871;125802;447085;5
2019.01.11;15:00:00;95871;95931;95771;95846;79524;302648;5
2019.01.11;16:00:00;95851;95891;95701;95831;76918;308449;5
2019.01.11;17:00:00;95836;95986;95781;95831;57059;221314;5
2019.01.11;18:00:00;95826;95871;95761;95761;5999;26601;5
2019.01.14;09:00:00;95280;95650;95240;95625;118661;383216;0
2019.01.14;10:00:00;95625;96370;95530;96010;201441;704350;5
2019.01.14;11:00:00;96010;96240;95885;95970;137172;486928;5
2019.01.14;12:00:00;95965;96110;95890;95955;121156;444153;5
2019.01.14;13:00:00;95960;96330;95935;96315;121576;426956;5
2019.01.14;14:00:00;96315;96550;96070;96530;137384;488164;5
2019.01.14;15:00:00;96535;96615;96415;96440;107560;399344;5
2019.01.14;16:00:00;96445;96580;96375;96540;85564;317778;5
2019.01.14;17:00:00;96535;96585;96410;96575;75987;352814;5
2019.01.14;18:00:00;96575;96585;96465;96505;8299;37286;5
2019.01.15;09:00:00;96715;96715;96465;96550;117367;379931;0
2019.01.15;10:00:00;96550;96825;96300;96345;248966;845479;5
2019.01.15;11:00:00;96345;96750;96300;96595;158604;628266;5
2019.01.15;12:00:00;96595;96640;96430;96615;117612;452943;5
2019.01.15;13:00:00;96615;96820;96365;96565;165722;651652;5
2019.01.15;14:00:00;96560;96640;96380;96545;100685;406222;5
2019.01.15;15:00:00;96545;96640;95480;95910;193780;691770;5
2019.01.15;16:00:00;95905;96195;95835;96185;108172;382407;5
2019.01.15;17:00:00;96190;96255;95685;95945;117908;409668;5
2019.01.15;18:00:00;95945;96280;95925;96280;8503;36527;5
2019.01.16;09:00:00;96512;96512;96140;96200;98604;324742;0
2019.01.16;10:00:00;96200;96435;96030;96175;187759;618084;5
2019.01.16;11:00:00;96180;96290;95940;96005;168994;569437;5
2019.01.16;12:00:00;96010;96345;95755;96260;184324;676513;5
2019.01.16;13:00:00;96265;96450;96015;96115;147958;554881;5
2019.01.16;14:00:00;96120;96340;95940;96330;134751;552171;5
2019.01.16;15:00:00;96325;96505;96190;96290;128423;486356;5
2019.01.16;16:00:00;96285;96445;96115;96190;113118;437367;5
2019.01.16;17:00:00;96190;96430;96145;96320;72663;285999;5
2019.01.16;18:00:00;96315;96515;96305;96515;7562;32186;5
2019.01.17;09:00:00;96115;96351;96110;96321;87824;279941;0
2019.01.17;10:00:00;96321;96426;95971;96051;214274;723846;5
2019.01.17;11:00:00;96051;96351;96016;96266;143625;526534;5
2019.01.17;12:00:00;96261;96736;96166;96666;171380;620401;5
2019.01.17;13:00:00;96666;97041;96631;96976;155516;581969;5
2019.01.17;14:00:00;96976;97231;96861;97091;141871;532925;5
2019.01.17;15:00:00;97086;97246;96976;97116;90240;347298;5
2019.01.17;16:00:00;97116;97551;97096;97446;135463;544306;5
2019.01.17;17:00:00;97446;97836;97391;97551;99903;487743;5
2019.01.17;18:00:00;97556;97661;97446;97511;12788;54011;5
2019.01.18;09:00:00;97387;97793;97313;97783;145134;482362;0
2019.01.18;10:00:00;97778;98518;97613;98408;210377;761037;5
2019.01.18;11:00:00;98403;98418;98138;98203;124966;507771;5
2019.01.18;12:00:00;98208;98463;98093;98138;131192;499004;5
2019.01.18;13:00:00;98143;98398;98008;98208;154953;620370;5
2019.01.18;14:00:00;98208;98323;98093;98128;106798;421937;5
2019.01.18;15:00:00;98128;98233;97948;98108;116613;471877;5
2019.01.18;16:00:00;98113;98423;98068;98393;96844;397918;5
2019.01.18;17:00:00;98393;98468;98133;98143;80868;350162;5
2019.01.18;18:00:00;98148;98178;98003;98013;7941;34058;5
2019.01.21;09:00:00;97886;98046;97596;97731;118722;375824;0
2019.01.21;10:00:00;97731;97931;96881;97031;207889;711923;5
2019.01.21;11:00:00;97026;97346;96976;97296;128934;464894;5
2019.01.21;12:00:00;97291;97436;97236;97361;68493;264736;5
2019.01.21;13:00:00;97366;97401;97176;97321;86502;333523;5
2019.01.21;14:00:00;97326;97501;97291;97456;79643;309309;5
2019.01.21;15:00:00;97456;98016;97456;98001;103276;414488;5
2019.01.21;16:00:00;98001;98126;97846;97956;84553;344992;5
2019.01.21;17:00:00;97951;98006;97776;97956;49068;218020;5
2019.01.21;18:00:00;97956;98336;97951;98336;8138;32040;5
2019.01.22;09:00:00;97774;97835;97435;97665;149505;448609;0
2019.01.22;10:00:00;97670;97940;97515;97830;190665;653194;5
2019.01.22;11:00:00;97830;97945;97340;97605;196024;696582;5
2019.01.22;12:00:00;97600;98150;97555;97985;213704;791098;5
2019.01.22;13:00:00;97980;97990;96925;97205;204264;746091;5
2019.01.22;14:00:00;97210;97485;96965;97000;126196;487499;5
2019.01.22;15:00:00;97005;97265;96925;97150;136572;519279;5
2019.01.22;16:00:00;97150;97150;96625;96875;149419;597979;5
2019.01.22;17:00:00;96875;97005;96690;96925;88669;367076;5
2019.01.22;18:00:00;96930;97055;96825;96825;10926;43669;5
2019.01.23;09:00:00;97234;97625;97224;97535;117550;384012;0
2019.01.23;10:00:00;97535;97870;97430;97650;226056;843186;5
2019.01.23;11:00:00;97650;98035;97520;97980;169281;643482;5
2019.01.23;12:00:00;97980;98645;97950;98405;203069;792750;5
2019.01.23;13:00:00;98405;98545;98085;98115;167399;659211;5
2019.01.23;14:00:00;98115;98335;97805;97815;155569;632637;5
2019.01.23;15:00:00;97815;98160;97630;97885;186263;800858;5
2019.01.23;16:00:00;97890;98205;97805;98095;127586;571502;5
2019.01.23;17:00:00;98090;98405;98085;98360;93856;436601;5
2019.01.23;18:00:00;98355;98475;98330;98470;7061;27975;5
2019.01.24;09:00:00;98451;98636;98395;98501;120175;389877;0
2019.01.24;10:00:00;98501;99086;98346;99036;225101;795250;5
2019.01.24;11:00:00;99041;99186;98726;98741;180064;662593;5
2019.01.24;12:00:00;98736;99136;98671;98946;169354;625774;5
2019.01.24;13:00:00;98941;99406;98896;99356;133204;501124;5
2019.01.24;14:00:00;99361;99401;99106;99221;112791;434488;5
2019.01.24;15:00:00;99221;99281;98971;99021;113038;458010;5
2019.01.24;16:00:00;99021;99296;98931;99246;95805;384868;5
2019.01.24;17:00:00;99241;99506;99036;99506;84323;381477;5
2019.01.24;18:00:00;99501;99646;99456;99646;10677;47140;5
2019.01.28;09:00:00;98273;98631;97881;97956;183572;569460;0
2019.01.28;10:00:00;97951;98191;97606;98101;223761;728600;5
2019.01.28;11:00:00;98101;98176;97266;97366;195193;674584;5
2019.01.28;12:00:00;97371;97441;96701;97076;209956;791035;5
2019.01.28;13:00:00;97076;97451;96876;97366;127672;477400;5
2019.01.28;14:00:00;97361;97646;97161;97161;155217;581501;5
2019.01.28;15:00:00;97161;97606;97046;97406;155639;609550;5
2019.01.28;16:00:00;97401;97816;97391;97756;149449;598843;5
2019.01.28;17:00:00;97761;97841;97446;97656;94564;396101;5
2019.01.28;18:00:00;97661;97671;97341;97341;12098;41007;5
2019.01.29;09:00:00;97346;98233;97346;98208;158372;546060;0
2019.01.29;10:00:00;98213;98388;98038;98068;187017;656744;5
2019.01.29;11:00:00;98068;98688;98048;98668;185647;672301;5
2019.01.29;12:00:00;98663;98748;98178;98268;176935;662760;5
2019.01.29;13:00:00;98263;98388;97888;98028;161825;615089;5
2019.01.29;14:00:00;98028;98143;97728;97798;155798;585365;5
2019.01.29;15:00:00;97793;98128;97683;98038;128510;495801;5
2019.01.29;16:00:00;98038;98153;97893;98068;96403;382478;5
2019.01.29;17:00:00;98063;98113;97638;97648;76835;357687;5
2019.01.29;18:00:00;97648;97703;97488;97488;12443;57843;5
2019.01.30;09:00:00;98283;98729;98283;98719;129531;432273;0
2019.01.30;10:00:00;98719;98974;98679;98899;168204;600517;5
2019.01.30;11:00:00;98899;99119;98789;98864;167828;608893;5
2019.01.30;12:00:00;98864;98889;98284;98349;167768;608344;5
2019.01.30;13:00:00;98349;98414;97779;97889;171692;631157;5
2019.01.30;14:00:00;97894;98284;97879;98234;116623;425198;5
2019.01.30;15:00:00;98229;98254;97884;98069;130193;497992;5
2019.01.30;16:00:00;98074;98234;98014;98084;87310;342290;5
2019.01.30;17:00:00;98089;99194;98079;99144;182474;706701;5
2019.01.30;18:00:00;99139;99169;98924;98924;10106;35753;5
2019.01.31;09:00:00;99464;99708;99213;99653;123823;436952;0
2019.01.31;10:00:00;99653;100088;99563;99958;195913;654171;5
2019.01.31;11:00:00;99963;100188;99858;99893;145192;496081;5
2019.01.31;12:00:00;99898;100063;99588;100008;187015;691505;5
2019.01.31;13:00:00;100008;100303;99873;100253;149203;543648;5
2019.01.31;14:00:00;100248;100358;99803;100233;177047;662032;5
2019.01.31;15:00:00;100233;100393;99913;100113;141709;544841;5
2019.01.31;16:00:00;100118;100218;99638;99883;149388;579546;5
2019.01.31;17:00:00;99883;99893;99438;99468;99029;424768;5
2019.01.31;18:00:00;99468;99488;99288;99488;10244;39092;5
2019.02.01;09:00:00;99220;99505;99110;99275;134594;453307;0
2019.02.01;10:00:00;99275;99820;99270;99655;213604;720181;5
2019.02.01;11:00:00;99650;100030;99400;99770;184235;647758;5
2019.02.01;12:00:00;99770;99845;99135;99240;196678;713158;5
2019.02.01;13:00:00;99235;99655;99180;99355;147995;543440;5
2019.02.01;14:00:00;99355;99390;98920;99270;140769;544392;5
2019.02.01;15:00:00;99270;99390;99025;99125;114407;463721;5
2019.02.01;16:00:00;99130;99420;99125;99390;98504;415204;5
2019.02.01;17:00:00;99385;99740;99190;99705;76902;321534;5
2019.02.01;18:00:00;99705;99825;99625;99825;9305;42724;5
2019.02.04;09:00:00;100243;100248;99207;99342;251946;699456;0
2019.02.04;10:00:00;99337;99517;98717;98812;223875;791709;5
2019.02.04;11:00:00;98812;99227;98752;99117;135619;505381;5
2019.02.04;12:00:00;99117;99352;98882;99242;176015;662679;5
2019.02.04;13:00:00;99242;99702;99052;99587;150496;576698;5
2019.02.04;14:00:00;99582;99912;99547;99912;156793;593578;5
2019.02.04;15:00:00;99907;100502;99882;100427;177730;730105;5
2019.02.04;16:00:00;100427;100547;100142;100302;145696;627509;5
2019.02.04;17:00:00;100297;100542;100197;100542;109782;502399;5
2019.02.04;18:00:00;100532;100547;100237;100237;7646;44831;5
2019.02.05;09:00:00;100304;100426;99901;100091;174603;584633;0
2019.02.05;10:00:00;100096;100386;99786;100146;285732;959578;5
2019.02.05;11:00:00;100146;100251;99891;100126;164188;593667;5
2019.02.05;12:00:00;100126;100281;99966;100061;154874;574536;5
2019.02.05;13:00:00;100061;100166;99746;99926;149858;560286;5
2019.02.05;14:00:00;99926;99991;99486;99776;193489;697927;5
2019.02.05;15:00:00;99776;99866;99516;99711;138018;493692;5
2019.02.05;16:00:00;99711;100461;99676;100441;158908;593005;5
2019.02.05;17:00:00;100446;100491;100086;100266;102037;425146;5
2019.02.05;18:00:00;100276;100316;100116;100201;9702;41189;5
2019.02.06;09:00:00;99800;99856;98879;99054;232002;775094;0
2019.02.06;10:00:00;99059;99179;98254;98339;293525;1008096;5
2019.02.06;11:00:00;98339;98689;98004;98194;232523;810389;5
